# SQM interaction energies (kcal/mol)
system	"PM6"	"PM6-D3H4"	"PM6-D3H4X"	"PM6-D3H4'X"	"PM7"	"DFTB3"	"DFTB3-D3"	"DFTB3-D3H4"	"DFTB3-D3H5"	"DFTB3-D3H5'"	"GFN-XTB2"
5.40_105	-0.132	-0.358	-0.358	-0.358	-0.317	-1.494	-1.772	-1.693	-1.693	-1.806	-2.480
5.40_110	-0.357	-0.604	-0.604	-0.604	-0.657	-1.313	-1.578	-1.521	-1.521	-1.593	-2.368
5.40_125	-0.596	-0.827	-0.827	-0.827	-0.974	-0.853	-1.073	-1.067	-1.067	-1.100	-1.905
5.40_150	-0.458	-0.564	-0.564	-0.564	-0.778	-0.463	-0.606	-0.549	-0.549	-0.569	-1.265
5.40_200	-0.222	-0.248	-0.248	-0.248	-0.319	-0.205	-0.251	-0.218	-0.218	-0.227	-0.606
5.41_080	4.715	4.571	4.571	4.571	8.667	-0.037	-0.797	-0.394	-0.394	-0.868	0.611
5.41_085	2.885	2.688	2.688	2.688	5.476	-1.288	-2.025	-1.685	-1.685	-2.112	-1.141
5.41_090	1.603	1.343	1.343	1.343	3.093	-1.912	-2.624	-2.314	-2.314	-2.690	-2.178
5.41_095	0.724	0.394	0.394	0.394	1.367	-2.136	-2.822	-2.564	-2.564	-2.876	-2.744
5.41_100	0.123	-0.275	-0.275	-0.275	0.162	-2.123	-2.782	-2.626	-2.626	-2.869	-3.007
5.41_105	-0.292	-0.747	-0.747	-0.747	-0.644	-1.984	-2.614	-2.565	-2.565	-2.743	-3.076
5.41_110	-0.579	-1.071	-1.071	-1.071	-1.152	-1.789	-2.390	-2.406	-2.406	-2.535	-3.021
5.41_125	-0.929	-1.413	-1.413	-1.413	-1.649	-1.203	-1.711	-1.803	-1.803	-1.864	-2.538
5.41_150	-0.739	-1.001	-1.001	-1.001	-1.340	-0.640	-0.991	-0.967	-0.967	-1.002	-1.702
5.41_200	-0.353	-0.426	-0.426	-0.426	-0.532	-0.276	-0.405	-0.359	-0.359	-0.376	-0.786
6.01_080	2.810	2.538	2.537	2.537	1.744	3.186	2.102	2.575	2.575	2.441	1.167
6.01_085	0.851	0.538	0.538	0.538	-0.186	1.229	0.199	0.557	0.557	0.446	-0.382
6.01_090	-0.303	-0.670	-0.671	-0.671	-1.191	0.195	-0.779	-0.515	-0.515	-0.590	-1.135
6.01_095	-0.878	-1.313	-1.314	-1.314	-1.635	-0.330	-1.246	-1.113	-1.112	-1.156	-1.449
6.01_100	-1.059	-1.563	-1.563	-1.563	-1.758	-0.574	-1.431	-1.362	-1.362	-1.386	-1.527
6.01_105	-1.014	-1.572	-1.572	-1.572	-1.715	-0.660	-1.458	-1.415	-1.415	-1.430	-1.485
6.01_110	-0.874	-1.465	-1.465	-1.465	-1.596	-0.658	-1.395	-1.390	-1.390	-1.401	-1.384
6.01_125	-0.495	-0.983	-0.983	-0.983	-1.173	-0.455	-1.016	-1.081	-1.081	-1.087	-1.009
6.01_150	-0.237	-0.443	-0.443	-0.443	-0.651	-0.184	-0.493	-0.436	-0.436	-0.440	-0.533
6.01_200	-0.083	-0.129	-0.129	-0.129	-0.207	-0.061	-0.136	-0.113	-0.113	-0.114	-0.154
6.02_080	1.901	1.008	1.007	1.007	-0.696	0.722	-0.974	-0.927	-0.927	-1.148	-0.242
6.02_085	0.575	-0.381	-0.381	-0.381	-1.847	-0.232	-1.848	-1.778	-1.778	-1.924	-1.093
6.02_090	-0.202	-1.224	-1.225	-1.225	-2.421	-0.689	-2.221	-2.240	-2.240	-2.317	-1.488
6.02_095	-0.550	-1.615	-1.615	-1.615	-2.634	-0.870	-2.315	-2.443	-2.443	-2.476	-1.627
6.02_100	-0.616	-1.684	-1.684	-1.684	-2.632	-0.894	-2.250	-2.428	-2.428	-2.439	-1.623
6.02_105	-0.543	-1.579	-1.579	-1.579	-2.511	-0.832	-2.096	-2.283	-2.283	-2.287	-1.542
6.02_110	-0.432	-1.407	-1.408	-1.408	-2.329	-0.725	-1.896	-2.070	-2.070	-2.071	-1.423
6.02_125	-0.195	-0.870	-0.870	-0.870	-1.698	-0.373	-1.270	-1.299	-1.299	-1.299	-1.019
6.02_150	-0.059	-0.370	-0.370	-0.370	-0.889	-0.103	-0.614	-0.507	-0.507	-0.507	-0.505
6.02_200	-0.021	-0.099	-0.099	-0.099	-0.244	-0.053	-0.191	-0.148	-0.148	-0.148	-0.104
6.03_080	2.285	1.363	1.362	1.362	0.546	1.326	-0.391	-0.439	-0.398	-0.551	0.137
6.03_085	0.882	-0.043	-0.043	-0.043	-0.873	0.079	-1.565	-1.663	-1.645	-1.747	-0.887
6.03_090	0.040	-0.896	-0.896	-0.896	-1.647	-0.543	-2.108	-2.224	-2.217	-2.271	-1.362
6.03_095	-0.375	-1.337	-1.338	-1.338	-2.015	-0.820	-2.304	-2.401	-2.399	-2.422	-1.538
6.03_100	-0.508	-1.501	-1.501	-1.501	-2.138	-0.905	-2.305	-2.367	-2.367	-2.374	-1.555
6.03_105	-0.494	-1.501	-1.501	-1.501	-2.122	-0.882	-2.195	-2.268	-2.268	-2.270	-1.488
6.03_110	-0.429	-1.413	-1.414	-1.414	-2.033	-0.800	-2.024	-2.133	-2.133	-2.133	-1.382
6.03_125	-0.267	-0.984	-0.984	-0.984	-1.624	-0.464	-1.421	-1.456	-1.456	-1.456	-1.013
6.03_150	-0.135	-0.483	-0.483	-0.483	-0.959	-0.144	-0.712	-0.603	-0.603	-0.603	-0.523
6.03_200	-0.053	-0.147	-0.147	-0.147	-0.306	-0.045	-0.211	-0.161	-0.161	-0.161	-0.109
6.04_080	2.860	1.519	1.724	1.721	0.132	4.164	1.711	1.946	1.581	1.398	-0.521
6.04_085	0.549	-0.846	-0.789	-0.791	-2.258	1.402	-0.926	-0.810	-1.015	-1.203	-2.369
6.04_090	-0.887	-2.316	-2.302	-2.302	-3.571	-0.054	-2.253	-2.181	-2.293	-2.454	-3.250
6.04_095	-1.725	-3.174	-3.171	-3.172	-4.189	-0.764	-2.832	-2.799	-2.861	-2.978	-3.567
6.04_100	-2.123	-3.574	-3.575	-3.575	-4.370	-1.066	-3.002	-3.063	-3.098	-3.173	-3.573
6.04_105	-2.202	-3.627	-3.629	-3.629	-4.292	-1.152	-2.956	-3.106	-3.129	-3.173	-3.418
6.04_110	-2.077	-3.444	-3.445	-3.445	-4.070	-1.128	-2.799	-2.971	-2.986	-3.013	-3.185
6.04_125	-1.384	-2.452	-2.453	-2.453	-3.140	-0.829	-2.119	-2.204	-2.211	-2.223	-2.398
6.04_150	-0.740	-1.263	-1.264	-1.264	-1.828	-0.382	-1.141	-1.043	-1.047	-1.054	-1.380
6.04_200	-0.306	-0.440	-0.440	-0.440	-0.604	-0.139	-0.357	-0.299	-0.301	-0.304	-0.463
6.05_080	0.294	-0.079	75.450	74.221	3.852	-4.105	-5.159	-4.885	-4.680	-4.802	-1.717
6.05_085	-1.441	-1.784	60.963	59.744	1.114	-6.677	-7.697	-7.560	-7.374	-7.518	-3.482
6.05_090	-2.519	-2.840	33.636	32.439	-0.727	-7.955	-8.939	-8.874	-8.707	-8.843	-4.139
6.05_095	-3.206	-3.518	10.186	9.024	-1.922	-8.404	-9.350	-9.283	-9.135	-9.238	-4.201
6.05_100	-3.599	-3.917	2.655	1.538	-2.650	-8.337	-9.244	-9.175	-9.047	-9.110	-3.986
6.05_105	-3.718	-4.057	-0.284	-1.344	-3.044	-7.951	-8.819	-8.807	-8.696	-8.728	-3.670
6.05_110	-3.581	-3.952	-1.839	-2.834	-3.205	-7.370	-8.199	-8.258	-8.163	-8.177	-3.339
6.05_125	-2.308	-2.757	-2.432	-3.194	-2.951	-5.119	-5.827	-5.988	-5.932	-5.932	-2.508
6.05_150	-0.934	-1.314	-1.304	-1.650	-1.887	-1.764	-2.272	-2.307	-2.292	-2.292	-1.589
6.05_200	-0.338	-0.458	-0.458	-0.459	-0.479	-0.043	-0.238	-0.201	-0.201	-0.201	-0.582
6.06_080	1.826	1.618	2.632	1.621	2.782	-1.586	-2.355	-1.863	-1.813	-2.374	-0.139
6.06_085	0.891	0.635	1.078	0.014	0.891	-2.806	-3.548	-3.116	-3.071	-3.705	-1.333
6.06_090	0.241	-0.065	0.130	-0.965	-0.290	-3.138	-3.852	-3.440	-3.401	-4.009	-1.817
6.06_095	-0.275	-0.629	-0.542	-1.646	-0.987	-2.986	-3.670	-3.290	-3.257	-3.753	-1.919
6.06_100	-0.664	-1.061	-1.022	-2.112	-1.353	-2.602	-3.256	-2.953	-2.927	-3.272	-1.835
6.06_105	-0.899	-1.324	-1.307	-2.363	-1.501	-2.138	-2.761	-2.591	-2.571	-2.775	-1.673
6.06_110	-0.974	-1.407	-1.400	-2.404	-1.511	-1.678	-2.269	-2.222	-2.206	-2.310	-1.491
6.06_125	-0.628	-1.026	-1.025	-1.793	-1.181	-0.615	-1.105	-1.075	-1.067	-1.072	-1.010
6.06_150	-0.144	-0.387	-0.387	-0.698	-0.509	0.100	-0.221	-0.188	-0.184	-0.184	-0.511
6.06_200	0.062	0.001	0.001	0.001	0.015	0.206	0.103	0.134	0.137	0.137	-0.098
6.07_080	1.387	0.944	2.957	2.052	2.953	2.842	1.716	2.331	2.241	2.058	0.180
6.07_085	0.013	-0.451	0.395	-0.578	0.769	0.511	-0.557	-0.099	-0.144	-0.391	-1.786
6.07_090	-0.740	-1.223	-0.868	-1.894	-0.598	-0.649	-1.659	-1.285	-1.305	-1.582	-2.714
6.07_095	-1.200	-1.704	-1.555	-2.613	-1.414	-1.134	-2.088	-1.746	-1.755	-2.015	-3.026
6.07_100	-1.502	-2.027	-1.965	-3.034	-1.857	-1.258	-2.156	-1.852	-1.857	-2.066	-3.002
6.07_105	-1.675	-2.217	-2.191	-3.252	-2.047	-1.210	-2.052	-1.830	-1.834	-1.979	-2.811
6.07_110	-1.718	-2.266	-2.256	-3.292	-2.072	-1.091	-1.879	-1.779	-1.783	-1.871	-2.553
6.07_125	-1.276	-1.776	-1.776	-2.643	-1.702	-0.704	-1.335	-1.328	-1.332	-1.346	-1.783
6.07_150	-0.541	-0.865	-0.865	-1.298	-0.952	-0.296	-0.702	-0.683	-0.685	-0.689	-0.944
6.07_200	-0.134	-0.216	-0.216	-0.220	-0.258	-0.044	-0.176	-0.133	-0.133	-0.134	-0.258
6.08_080	2.013	1.309	1.934	-1.406	1.380	-2.538	-4.084	-3.774	-3.728	-4.258	-1.096
6.08_085	0.972	0.235	0.506	-2.775	-0.375	-3.233	-4.715	-4.395	-4.357	-4.879	-2.003
6.08_090	0.181	-0.602	-0.484	-3.664	-1.476	-3.288	-4.703	-4.381	-4.350	-4.782	-2.346
6.08_095	-0.414	-1.246	-1.194	-4.236	-2.119	-3.019	-4.367	-4.102	-4.079	-4.379	-2.392
6.08_100	-0.800	-1.667	-1.644	-4.513	-2.442	-2.617	-3.896	-3.763	-3.746	-3.922	-2.295
6.08_105	-0.975	-1.850	-1.840	-4.506	-2.550	-2.185	-3.395	-3.400	-3.389	-3.476	-2.137
6.08_110	-0.979	-1.836	-1.832	-4.270	-2.519	-1.778	-2.917	-2.973	-2.966	-3.003	-1.961
6.08_125	-0.607	-1.345	-1.346	-3.025	-2.046	-0.877	-1.804	-1.818	-1.818	-1.819	-1.461
6.08_150	-0.263	-0.677	-0.678	-1.252	-1.151	-0.279	-0.884	-0.798	-0.800	-0.800	-0.857
6.08_200	-0.074	-0.196	-0.196	-0.198	-0.379	-0.098	-0.306	-0.238	-0.240	-0.240	-0.268
6.09_080	1.273	0.623	2.326	-0.356	2.201	-2.186	-3.613	-3.282	-3.207	-3.539	-0.820
6.09_085	0.338	-0.310	0.511	-2.015	0.175	-3.498	-4.869	-4.632	-4.565	-4.939	-2.017
6.09_090	-0.259	-0.914	-0.512	-2.864	-1.100	-3.897	-5.211	-4.984	-4.928	-5.282	-2.480
6.09_095	-0.698	-1.367	-1.169	-3.333	-1.855	-3.789	-5.044	-4.807	-4.762	-5.045	-2.553
6.09_100	-1.011	-1.699	-1.602	-3.570	-2.252	-3.425	-4.621	-4.413	-4.377	-4.569	-2.438
6.09_105	-1.188	-1.891	-1.844	-3.612	-2.407	-2.955	-4.091	-3.975	-3.948	-4.059	-2.247
6.09_110	-1.227	-1.934	-1.911	-3.482	-2.406	-2.463	-3.539	-3.512	-3.491	-3.546	-2.037
6.09_125	-0.878	-1.539	-1.537	-2.564	-1.975	-1.216	-2.109	-2.079	-2.070	-2.073	-1.482
6.09_150	-0.410	-0.833	-0.833	-1.217	-1.066	-0.227	-0.834	-0.768	-0.768	-0.768	-0.878
6.09_200	-0.119	-0.252	-0.252	-0.252	-0.191	-0.004	-0.231	-0.161	-0.162	-0.162	-0.297
6.10_080	0.940	0.620	2.026	1.210	1.587	2.462	1.160	1.903	1.541	1.235	0.444
6.10_085	-0.715	-1.137	-0.575	-1.450	-0.705	0.076	-1.175	-0.621	-0.868	-1.190	-1.603
6.10_090	-1.649	-2.176	-1.952	-2.866	-2.047	-1.113	-2.312	-1.906	-2.059	-2.343	-2.606
6.10_095	-2.152	-2.773	-2.684	-3.618	-2.754	-1.615	-2.758	-2.473	-2.560	-2.772	-3.002
6.10_100	-2.365	-3.061	-3.025	-3.958	-3.046	-1.744	-2.829	-2.685	-2.731	-2.869	-3.062
6.10_105	-2.361	-3.109	-3.095	-4.008	-3.080	-1.682	-2.708	-2.705	-2.728	-2.808	-2.946
6.10_110	-2.204	-2.979	-2.973	-3.850	-2.963	-1.532	-2.498	-2.561	-2.573	-2.618	-2.750
6.10_125	-1.455	-2.167	-2.166	-2.853	-2.313	-0.996	-1.776	-1.855	-1.859	-1.874	-2.065
6.10_150	-0.743	-1.112	-1.112	-1.398	-1.358	-0.440	-0.926	-0.889	-0.891	-0.899	-1.188
6.10_200	-0.285	-0.373	-0.373	-0.373	-0.427	-0.153	-0.294	-0.249	-0.250	-0.253	-0.400
6.11_080	0.871	-0.314	0.000	-2.946	-0.974	0.697	-1.526	-1.535	-1.585	-2.078	-0.203
6.11_085	-0.342	-1.664	-1.544	-4.534	-2.789	-0.877	-3.022	-2.978	-3.024	-3.399	-1.405
6.11_090	-1.056	-2.512	-2.465	-5.440	-3.786	-1.678	-3.738	-3.757	-3.797	-4.032	-1.994
6.11_095	-1.401	-2.948	-2.929	-5.832	-4.234	-2.012	-3.980	-4.178	-4.212	-4.334	-2.233
6.11_100	-1.470	-3.039	-3.031	-5.808	-4.330	-2.068	-3.938	-4.265	-4.293	-4.346	-2.276
6.11_105	-1.363	-2.889	-2.886	-5.492	-4.210	-1.965	-3.731	-4.076	-4.098	-4.118	-2.209
6.11_110	-1.176	-2.622	-2.621	-5.017	-3.971	-1.780	-3.438	-3.736	-3.753	-3.759	-2.083
6.11_125	-0.667	-1.759	-1.759	-3.399	-3.028	-1.139	-2.462	-2.586	-2.592	-2.592	-1.596
6.11_150	-0.313	-0.858	-0.858	-1.387	-1.714	-0.517	-1.327	-1.206	-1.206	-1.206	-0.883
6.11_200	-0.128	-0.270	-0.270	-0.273	-0.537	-0.250	-0.493	-0.412	-0.412	-0.412	-0.209
6.12_080	0.516	0.493	1.892	1.013	2.030	1.734	1.003	2.015	1.559	1.274	0.477
6.12_085	-0.952	-1.023	-0.458	-1.399	-0.159	-0.317	-1.025	-0.274	-0.581	-0.893	-1.516
6.12_090	-1.788	-1.912	-1.684	-2.667	-1.481	-1.275	-1.957	-1.362	-1.549	-1.837	-2.495
6.12_095	-2.260	-2.447	-2.355	-3.359	-2.216	-1.633	-2.287	-1.782	-1.883	-2.110	-2.885
6.12_100	-2.486	-2.742	-2.705	-3.709	-2.560	-1.687	-2.312	-1.910	-1.959	-2.114	-2.948
6.12_105	-2.515	-2.840	-2.826	-3.810	-2.651	-1.603	-2.197	-1.941	-1.961	-2.056	-2.843
6.12_110	-2.391	-2.776	-2.770	-3.716	-2.588	-1.465	-2.028	-1.885	-1.893	-1.947	-2.661
6.12_125	-1.659	-2.101	-2.101	-2.849	-2.059	-1.032	-1.495	-1.482	-1.482	-1.499	-2.026
6.12_150	-0.894	-1.144	-1.144	-1.466	-1.238	-0.546	-0.844	-0.816	-0.816	-0.826	-1.218
6.12_200	-0.372	-0.426	-0.426	-0.426	-0.459	-0.213	-0.299	-0.258	-0.258	-0.262	-0.470
6.13_080	3.064	2.412	2.701	0.128	3.499	-0.203	-1.508	-1.180	-1.181	-1.957	0.333
6.13_085	1.046	0.270	0.389	-2.234	0.809	-1.335	-2.606	-2.416	-2.416	-2.973	-0.888
6.13_090	-0.259	-1.130	-1.081	-3.698	-0.883	-1.819	-3.049	-3.086	-3.086	-3.418	-1.473
6.13_095	-0.958	-1.888	-1.868	-4.425	-1.869	-1.940	-3.121	-3.376	-3.376	-3.540	-1.695
6.13_100	-1.197	-2.143	-2.135	-4.580	-2.372	-1.865	-2.992	-3.297	-3.297	-3.364	-1.718
6.13_105	-1.149	-2.081	-2.078	-4.367	-2.558	-1.695	-2.761	-3.020	-3.020	-3.043	-1.637
6.13_110	-0.979	-1.881	-1.880	-3.975	-2.546	-1.488	-2.489	-2.680	-2.680	-2.686	-1.507
6.13_125	-0.530	-1.202	-1.202	-2.590	-2.024	-0.921	-1.706	-1.776	-1.776	-1.776	-1.067
6.13_150	-0.278	-0.568	-0.568	-0.918	-1.133	-0.493	-0.939	-0.820	-0.820	-0.820	-0.529
6.13_200	-0.142	-0.208	-0.208	-0.208	-0.338	-0.298	-0.409	-0.351	-0.351	-0.351	-0.110
6.14_080	10.191	9.887	9.887	9.887	6.157	1.190	0.292	0.388	0.388	0.363	1.645
6.14_085	5.057	4.745	4.745	4.745	2.251	-1.460	-2.313	-2.330	-2.330	-2.352	-0.227
6.14_090	1.816	1.490	1.490	1.490	-0.324	-2.582	-3.388	-3.446	-3.446	-3.464	-1.054
6.14_095	0.201	-0.149	-0.149	-0.149	-1.902	-2.834	-3.593	-3.667	-3.667	-3.681	-1.341
6.14_100	-0.346	-0.725	-0.725	-0.725	-2.740	-2.625	-3.337	-3.412	-3.412	-3.422	-1.378
6.14_105	-0.395	-0.800	-0.800	-0.800	-3.049	-2.204	-2.869	-2.914	-2.914	-2.921	-1.316
6.14_110	-0.314	-0.739	-0.739	-0.739	-3.001	-1.725	-2.342	-2.368	-2.368	-2.373	-1.217
6.14_125	-0.210	-0.577	-0.577	-0.577	-1.981	-0.599	-1.074	-1.116	-1.116	-1.117	-0.851
6.14_150	-0.097	-0.257	-0.257	-0.257	-0.657	-0.049	-0.315	-0.265	-0.265	-0.265	-0.415
6.14_200	-0.026	-0.062	-0.062	-0.062	-0.095	-0.003	-0.068	-0.049	-0.049	-0.049	-0.109
6.15_080	3.746	3.531	3.531	3.531	3.207	2.200	1.148	1.619	1.286	1.167	-0.749
6.15_085	1.538	1.285	1.285	1.285	1.003	0.416	-0.594	-0.245	-0.416	-0.524	-1.841
6.15_090	0.022	-0.287	-0.287	-0.287	-0.350	-0.495	-1.462	-1.197	-1.280	-1.360	-2.301
6.15_095	-0.884	-1.265	-1.265	-1.265	-1.130	-0.912	-1.833	-1.665	-1.704	-1.755	-2.414
6.15_100	-1.309	-1.766	-1.766	-1.766	-1.540	-1.056	-1.927	-1.840	-1.859	-1.889	-2.346
6.15_105	-1.408	-1.934	-1.934	-1.934	-1.717	-1.051	-1.872	-1.819	-1.830	-1.847	-2.190
6.15_110	-1.329	-1.906	-1.906	-1.906	-1.754	-0.969	-1.739	-1.721	-1.728	-1.740	-2.001
6.15_125	-0.900	-1.428	-1.428	-1.428	-1.491	-0.599	-1.208	-1.289	-1.293	-1.300	-1.445
6.15_150	-0.488	-0.724	-0.724	-0.726	-0.872	-0.218	-0.576	-0.513	-0.516	-0.520	-0.799
6.15_200	-0.186	-0.240	-0.240	-0.240	-0.242	-0.074	-0.168	-0.135	-0.136	-0.138	-0.262
6.16_080	3.458	3.576	3.576	3.576	5.582	0.956	0.657	1.352	1.352	0.886	-1.995
6.16_085	1.751	1.800	1.800	1.800	2.969	-0.921	-1.216	-0.666	-0.666	-1.285	-3.243
6.16_090	0.803	0.803	0.802	0.802	1.267	-1.801	-2.091	-1.610	-1.610	-2.321	-3.631
6.16_095	0.194	0.152	0.151	0.151	0.178	-2.108	-2.393	-1.937	-1.937	-2.644	-3.554
6.16_100	-0.268	-0.351	-0.351	-0.351	-0.493	-2.106	-2.384	-1.956	-1.956	-2.562	-3.257
6.16_105	-0.630	-0.750	-0.750	-0.750	-0.880	-1.954	-2.225	-1.857	-1.857	-2.308	-2.880
6.16_110	-0.879	-1.028	-1.028	-1.028	-1.079	-1.746	-2.008	-1.750	-1.750	-2.041	-2.498
6.16_125	-0.927	-1.096	-1.096	-1.096	-1.111	-1.153	-1.384	-1.297	-1.297	-1.332	-1.597
6.16_150	-0.429	-0.596	-0.596	-0.596	-0.723	-0.586	-0.753	-0.717	-0.717	-0.718	-0.847
6.16_200	-0.162	-0.199	-0.199	-0.199	-0.267	-0.211	-0.269	-0.230	-0.230	-0.230	-0.313
6.17_080	4.971	4.941	4.940	4.940	7.494	2.259	1.747	2.603	2.603	2.440	-2.274
6.17_085	2.215	2.131	2.130	2.130	3.998	-0.587	-1.088	-0.436	-0.436	-0.685	-4.283
6.17_090	0.705	0.574	0.573	0.573	1.687	-2.038	-2.528	-2.042	-2.042	-2.374	-5.141
6.17_095	-0.138	-0.307	-0.307	-0.307	0.178	-2.646	-3.124	-2.734	-2.734	-3.116	-5.284
6.17_100	-0.663	-0.862	-0.862	-0.862	-0.780	-2.770	-3.235	-2.888	-2.888	-3.269	-5.039
6.17_105	-1.037	-1.264	-1.264	-1.264	-1.357	-2.639	-3.089	-2.770	-2.770	-3.101	-4.614
6.17_110	-1.311	-1.567	-1.567	-1.567	-1.672	-2.392	-2.827	-2.556	-2.556	-2.809	-4.127
6.17_125	-1.503	-1.804	-1.804	-1.804	-1.790	-1.590	-1.973	-1.971	-1.971	-2.034	-2.811
6.17_150	-0.821	-1.099	-1.099	-1.099	-1.244	-0.797	-1.081	-1.087	-1.087	-1.101	-1.545
6.17_200	-0.313	-0.385	-0.385	-0.385	-0.485	-0.281	-0.390	-0.350	-0.350	-0.356	-0.579
6.18_080	5.043	4.522	4.519	-0.969	6.046	0.687	-0.121	0.245	0.245	-0.262	-1.497
6.18_085	3.155	2.632	2.631	-2.731	3.310	-1.027	-1.819	-1.602	-1.602	-2.241	-2.724
6.18_090	1.972	1.452	1.451	-3.674	1.453	-1.808	-2.582	-2.417	-2.417	-3.112	-3.156
6.18_095	1.122	0.604	0.604	-4.190	0.205	-2.064	-2.816	-2.656	-2.656	-3.308	-3.148
6.18_100	0.452	-0.066	-0.066	-4.454	-0.613	-2.043	-2.772	-2.617	-2.617	-3.144	-2.926
6.18_105	-0.066	-0.585	-0.585	-4.513	-1.127	-1.894	-2.598	-2.480	-2.480	-2.849	-2.617
6.18_110	-0.419	-0.935	-0.935	-4.371	-1.426	-1.702	-2.378	-2.346	-2.346	-2.570	-2.292
6.18_125	-0.619	-1.079	-1.079	-3.045	-1.604	-1.179	-1.762	-1.787	-1.787	-1.808	-1.493
6.18_150	-0.278	-0.609	-0.609	-0.965	-1.141	-0.711	-1.123	-1.101	-1.101	-1.101	-0.772
6.18_200	-0.133	-0.224	-0.224	-0.224	-0.457	-0.425	-0.576	-0.512	-0.512	-0.512	-0.228
6.19_080	4.361	3.989	3.987	1.388	6.554	1.355	0.622	1.182	1.269	0.958	-1.657
6.19_085	2.381	2.004	2.003	-0.661	3.570	-0.828	-1.547	-1.140	-1.095	-1.517	-3.127
6.19_090	1.253	0.872	0.871	-1.785	1.574	-1.877	-2.580	-2.250	-2.228	-2.726	-3.645
6.19_095	0.521	0.133	0.132	-2.445	0.253	-2.267	-2.951	-2.643	-2.633	-3.138	-3.630
6.19_100	-0.036	-0.436	-0.436	-2.872	-0.599	-2.293	-2.956	-2.660	-2.656	-3.099	-3.351
6.19_105	-0.484	-0.899	-0.900	-3.143	-1.123	-2.138	-2.779	-2.521	-2.519	-2.856	-2.967
6.19_110	-0.817	-1.243	-1.243	-3.256	-1.421	-1.911	-2.529	-2.356	-2.355	-2.579	-2.564
6.19_125	-1.056	-1.454	-1.454	-2.682	-1.593	-1.250	-1.789	-1.798	-1.798	-1.827	-1.586
6.19_150	-0.606	-0.929	-0.929	-1.187	-1.191	-0.643	-1.038	-1.023	-1.023	-1.023	-0.766
6.19_200	-0.321	-0.419	-0.419	-0.419	-0.578	-0.301	-0.461	-0.404	-0.404	-0.404	-0.214
6.20_080	3.687	3.545	3.545	2.088	2.340	2.802	2.098	2.259	2.259	2.270	0.019
6.20_085	2.152	1.952	1.952	0.369	0.833	1.134	0.444	0.575	0.575	0.573	-1.013
6.20_090	0.933	0.671	0.671	-0.999	-0.103	0.179	-0.493	-0.365	-0.365	-0.374	-1.441
6.20_095	0.051	-0.270	-0.270	-1.988	-0.659	-0.348	-1.000	-0.906	-0.906	-0.916	-1.542
6.20_100	-0.493	-0.861	-0.861	-2.591	-0.967	-0.618	-1.246	-1.245	-1.245	-1.252	-1.485
6.20_105	-0.743	-1.140	-1.140	-2.847	-1.115	-0.730	-1.331	-1.433	-1.433	-1.437	-1.362
6.20_110	-0.779	-1.188	-1.188	-2.842	-1.164	-0.742	-1.315	-1.444	-1.444	-1.446	-1.221
6.20_125	-0.448	-0.837	-0.837	-2.186	-1.022	-0.507	-0.983	-1.049	-1.049	-1.049	-0.843
6.20_150	-0.180	-0.386	-0.386	-1.040	-0.599	-0.108	-0.412	-0.392	-0.392	-0.392	-0.453
6.20_200	-0.067	-0.116	-0.116	-0.123	-0.176	-0.001	-0.091	-0.065	-0.065	-0.065	-0.138
6.21_080	2.628	2.620	2.620	1.760	1.641	1.211	0.723	1.104	1.104	0.749	-1.378
6.21_085	1.430	1.370	1.370	0.427	0.278	-0.308	-0.786	-0.503	-0.503	-0.893	-2.230
6.21_090	0.404	0.305	0.305	-0.697	-0.543	-1.065	-1.531	-1.262	-1.262	-1.621	-2.483
6.21_095	-0.394	-0.533	-0.533	-1.570	-1.008	-1.386	-1.838	-1.574	-1.574	-1.853	-2.424
6.21_100	-0.916	-1.096	-1.096	-2.147	-1.244	-1.471	-1.907	-1.698	-1.698	-1.881	-2.225
6.21_105	-1.167	-1.383	-1.383	-2.429	-1.337	-1.433	-1.851	-1.744	-1.744	-1.846	-1.983
6.21_110	-1.201	-1.443	-1.443	-2.466	-1.344	-1.332	-1.731	-1.684	-1.684	-1.732	-1.744
6.21_125	-0.778	-1.055	-1.055	-1.923	-1.139	-0.908	-1.242	-1.212	-1.212	-1.215	-1.171
6.21_150	-0.356	-0.518	-0.518	-0.989	-0.671	-0.362	-0.579	-0.547	-0.547	-0.547	-0.638
6.21_200	-0.134	-0.171	-0.171	-0.183	-0.208	-0.105	-0.170	-0.141	-0.141	-0.141	-0.219
6.22_080	2.580	2.525	2.525	1.797	1.937	3.179	2.320	2.925	2.925	2.823	-1.366
6.22_085	1.291	1.182	1.181	0.345	-0.067	0.535	-0.302	0.151	0.151	0.010	-2.930
6.22_090	0.269	0.095	0.095	-0.824	-1.295	-0.934	-1.747	-1.390	-1.390	-1.559	-3.596
6.22_095	-0.580	-0.824	-0.824	-1.805	-2.004	-1.666	-2.454	-2.138	-2.138	-2.307	-3.731
6.22_100	-1.236	-1.550	-1.550	-2.572	-2.366	-1.960	-2.720	-2.440	-2.440	-2.584	-3.581
6.22_105	-1.663	-2.043	-2.043	-3.086	-2.503	-2.008	-2.739	-2.534	-2.534	-2.640	-3.301
6.22_110	-1.860	-2.292	-2.292	-3.339	-2.500	-1.923	-2.623	-2.541	-2.541	-2.610	-2.979
6.22_125	-1.532	-2.014	-2.014	-2.979	-2.125	-1.393	-1.991	-2.042	-2.042	-2.058	-2.103
